专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,备注
40,1330,法学研究,2024,6,反不正当竞争法一般条款的保护限度——以市场区分为视角,刘建臣,山东大学法学院,经济法学,85.7,85-88分,4.03,低分歧（分歧值≤5）,经过候选复评与重点复核,经济法学,知识产权法学,全国统一大市场[经济法学]（证据：在构建全国统一大市场的现实背景下）；公平竞争[经济法学]（证据：实现反不正当竞争法所追求的公平竞争）；知识产权法[知识产权法学]（证据：知识产权法为创新成果提供了直接有效的保护）,,开放性维度（数字技术、人工智能、数据要素等新型议题）[知识产权法学]（证据：面向企业数据、商业模式和人工智能生成物等创新成果）,4,"关键词:7, 语义:1, 双重:0, AI核验:4",置信度:high；论文核心聚焦反不正当竞争法一般条款的适用限度，属经济法学（竞争法）范畴；同时深入探讨与知识产权法的衔接及数据、AI等新型议题，故知识产权法学为次要对应。商标平行保护理论、全面依法治国、互联网法院等仅为背景或脚注提及，未实质参与核心论证，故不予匹配。
41,1614,法学研究,2021,6,"注册商标使用中的""未改变显著特征""",付继存,中国政法大学民商经济法学院,知识产权法学,85.6,85-88分,4.6,低分歧（分歧值≤5）,经过候选复评,知识产权法学,经济法学,公平竞争[经济法学]（证据：维护市场竞争秩序，防止不正当竞争者获利）,利益平衡理论[知识产权法学]（证据：兼顾商标作为商业语言的社会性与个体性）；商标相似性与混淆可能性之关系[知识产权法学]（证据：“混淆性近似”与“明确指代”不易导致消费者混淆）,,3,"关键词:4, 语义:2, 双重:0, AI核验:3",置信度:high；论文核心属知识产权法学范畴，重点回应商标使用判定中的显著特征与混淆标准问题。经济法学条目为次要对应，体现制度背后的竞争法价值取向。未匹配“商标注册行为的要式性”因论文主张功能主义而非形式主义；未匹配“方法论（数字法学）”因所用QCA属实证法学方法而非数字法学框架。
42,1860,法学研究,2025,5,诉权处分合同的程序法效果及其司法审查,朱禹臣,中国人民大学法学院,诉讼法学,85.55,85-88分,5.96,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,民事诉讼法学,民法学；法理学,民事诉讼法 [keyword][民事诉讼法学]（证据：需引入民事诉讼法的特别规定与制度理念进行分析）；法律行为 [keyword][法理学]（证据：借鉴民法上关于意思表示解释和法律行为效力判断的理论工具）,"民法典与民事诉讼法的衔接与协同实施 [semantic, 相似度:0.70][民事诉讼法学]（证据：需多部门法资源的协同会诊...综合运用民事诉讼法、民事实体法）","第三：合同理论 [semantic, 相似度:0.65][民法学]（证据：诉权处分合同具备和解属性...借鉴民法上关于意思表示解释）",4,"关键词:4, 语义:9, 双重:0, AI核验:4",置信度:high；论文虽涉及宪法诉讼权，但候选库未列宪法学条目。核心论证紧密围绕民事程序法与实体合同法的交叉适用，故主学科为民诉法，次学科为民商法与法理学。
43,1322,法学研究,2023,6,劳动关系认定的理论澄清与规范建构,朱军,上海交通大学凯原法学院,经济法学,85.225,85-88分,5.5,中等分歧（5<分歧值≤8）,经过候选复评,社会法学,立法学,劳动关系[社会法学]（证据：劳动关系认定是劳动法的元问题。）；劳动者[社会法学]（证据：立法至今未对劳动者概念予以回应。）；法典编纂[立法学]（证据：劳动法典面临的重要任务之一是界定劳动关系基础概念。）,支配性劳动管理理论[社会法学]（证据：资方通过指令管理使劳动者丧失自主经营的可能）,劳动法学理论[社会法学]（证据：全面系统地更新对个别劳动法的原型……研究。）,5,"关键词:10, 语义:6, 双重:0, AI核验:5",置信度:high；论文实质属于劳动法/社会法学范畴，核心论证聚焦劳动关系从属性理论与司法认定标准。立法学为次要对应，因涉及法典编纂背景。
44,1387,法学研究,2021,3,域外管辖的体系构造:立法管辖与司法管辖之界分,宋晓,南京大学法学院,国际法学,85.15,85-88分,3.58,低分歧（分歧值≤5）,经过候选复评与重点复核,涉外法学,国际法学；国际私法学,中国法域外适用[涉外法学]（证据：“国内法域外适用的体系构建是我国当前面临的重大课题”）；国际法[国际法学]（证据：“国际法只是进行外部限制而不能直接提出贯通的规则”）,统筹推进国内法治和涉外法治[涉外法学]（证据：“因应美国管辖权扩张……加快推进我国法域外适用的法律体系建设）,主要内容（国内法治视角、区际法律冲突、国际法治发展、强制性规范、意思自治）[国际私法学]（证据：“经冲突规范指引的域外适用……多边主义的法律选择方法”）,4,"关键词:6, 语义:9, 双重:0, AI核验:4",置信度:high；论文虽由国际法学专家审阅，但其核心议题“中国法域外适用体系构建”与涉外法学标识性概念高度重合；同时深度运用国际法主权边界理论与国际私法冲突规范/管辖权协调框架，故将涉外法学列为主对应学科，国际法学与国际私法学列为次对应学科。
45,1601,法学研究,2020,6,法律规范合宪性解释的方法论构造,刘召成,天津大学法学院,宪法学与行政法学,84.925,82-85分,5.68,中等分歧（5<分歧值≤8）,经过候选复评,宪法学,法理学,合宪性审查[宪法学]（证据：合宪性解释与合宪性审查的关联性，导致本属于合宪性审查权的..）,,第六：宪法实施论[宪法学]（证据：司法机关对于法律规范的解释适用必须受到宪法的拘束...）；第四部分：运行论（法的制定到实施）[法理学]（证据：合宪性解释作为法律解释方法的本体回归……其与经典的文义...）,3,"关键词:3, 语义:11, 双重:1, AI核验:3",置信度:high；论文核心聚焦“合宪性解释”方法论，虽知识库未直接列出该概念，但其与“合宪性审查”紧密关联，且实质属于宪法实施与法理学法律解释运行论范畴。文中民法案例仅作方法演示，不构成主要对应。
46,0051,中国法学,2018,4,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,环境与资源保护法学,84.925,82-85分,4.38,低分歧（分歧值≤5）,经过候选复评,民法学,,,契合土地公有制的原创性物权理论[民法学]（证据：土地经营权必须被定性为用益物权）,,1,"关键词:2, 语义:1, 双重:0, AI核验:1",置信度:high；论文核心聚焦民法物权领域，探讨集体土地“三权分置”下的权利定性与体系重构，与民法学条目高度契合。法理学“法律行为”仅为合同背景提及，知识产权条目无实质关联。
47,1867,法学研究,2025,6,公法属地原则与域外适用的博弈共存,章晶,河海大学法学院,国际法学,84.725,82-85分,6.2,中等分歧（5<分歧值≤8）,经过候选复评,涉外法学,国际法学,涉外法治[涉外法学]（证据：被视为涉外法治体系的应有之义）,统筹推进国内法治和涉外法治[涉外法学]（证据：脚注引《论统筹推进国内法治和涉外法治》）,,2,"关键词:8, 语义:13, 双重:1, AI核验:2",置信度:high；论文核心聚焦国内公法域外适用与属地原则的协调，高度契合涉外法学知识体系。虽属国际法学审阅范畴，但知识库中国际法学条目侧重宏观理念，故未作实质匹配；立法与执法权能界分属管辖权基础理论，知识库未单列对应条目。
48,1111,法学研究,2015,6,“直诉”源流通说辨正,王捷,华东政法大学法律古籍整理研究所,法律史,84.05,82-85分,7.16,中等分歧（5<分歧值≤8）,经过候选复评,法律史学,刑事诉讼法学,,法律儒家化理论[法律史学]（证据：出现了“法律《周礼》化”，历代注家也层累地将……）,内在逻辑[刑事诉讼法学]（证据：中国古代的司法审级发展自有其内在逻辑）,2,"关键词:4, 语义:1, 双重:0, AI核验:2",置信度:high；论文属典型法律史研究，核心围绕古代诉讼程序（直诉）与审级制度的源流考辨。虽涉及程序法范畴，但主要贡献在于法制史领域的史料辨伪与制度溯源，故主学科为法律史学。
49,1761,法学研究,2019,6,论清代刑案诸证一致的证据标准——以同治四年郑庆年案为例,王志强,复旦大学法学院,法律史,83.025,82-85分,10.73,较高分歧（分歧值>8）,经过候选复评,刑事诉讼法学,法律史学,刑事证据与证明[刑事诉讼法学]（证据：定罪的证据需达到何种充分程度、处理证据需遵循哪些规范）,,,1,"关键词:2, 语义:2, 双重:0, AI核验:1",置信度:high；论文虽属法律史范畴，但核心议题为刑事证据标准与事实认定机制，故主要对应刑事诉讼法学条目；法理学与刑法学候选条目在文中仅为背景提及或无实质论证关联。
50,0180,中国法学,2024,3,党内法规的概念分析,朱林方,西南政法大学行政法学院,党内法规学,82.6,82-85分,11.21,较高分歧（分歧值>8）,经过候选复评,法理学,,标识性概念：党内法规[法理学]（证据：党内法规是什么，是党内法规研究的首要问题。）,,,1,"关键词:5, 语义:4, 双重:0, AI核验:1",置信度:high；论文属典型法理学概念分析范式，虽专家审阅学科为党内法规学，但候选知识库中仅法理学收录该标识性概念。文中未实质涉及法治中国论、法规衔接协调理论或其他学科框架结构。
