专家清单序号,论文编号,期刊,年份,期,题目,作者,作者机构,专家审阅学科,AI辅助内容评价分,AI辅助内容评价分区间,分歧值（以标准差衡量）,分歧区间,候选来源,核验模型,主要对应学科,次要对应学科,标识性概念对应,原创性理论对应,框架结构对应,对应条目总数,匹配方法统计,模型核验明细,备注
26,0619,中国法学,2022,1,符合法律的宪法解释与宪法发展,杜强强,首都师范大学政法学院,宪法学与行政法学,87.225,85-88分,3.42,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,宪法学,立法学；法理学,合宪性审查[宪法学]（证据：推进合宪性审查工作、合宪性审查的过程）{qwen3.7-max}；法律体系[法理学]（证据：法律体系具有整体性，对法律的解释需要考虑宪法）{qwen3.7-max}；合宪性审查 [keyword][宪法学]（证据：推进合宪性审查工作）{gpt-5.5-high},立法发展理论[立法学]（证据：与通过立法发展宪法的论点进行必要的对比）{qwen3.7-max}；立法发展理论 [keyword][立法学]（证据：通过立法发展宪法）{gpt-5.5-high},"第六：宪法实施论[宪法学]（证据：开展宪法解释、推进合宪性审查）{qwen3.7-max}；第六：宪法实施论 [semantic, 相似度:0.78][宪法学]（证据：加强宪法实施和监督）{gpt-5.5-high}；第二：宪法学基本理论 [semantic, 相似度:0.76][宪法学]（证据：以法律来调整宪法含义）{gpt-5.5-high}",8,"关键词:6, 语义:14, 双重:0, AI核验:8",qwen3.7-max:宪法学/4项；gpt-5.5-high:宪法学/4项,置信度分布:{'high': 2}；qwen3.7-max:论文中出现的“国家安全”仅为《宪法》第40条文本中的特定事由和解释客体，并非从国家安全法学学科视角展开的理论探讨，故不予匹配。；gpt-5.5-high:未确认“备案审查”“国家安全”等条目：前者仅在脚注和制度背景中出现，后者主要作为宪法第40条案例语境，并非论文核心论证对象。
27,1519,法学研究,2023,3,整体法秩序视野下被害人自陷风险的理论重塑,陈璇,中国人民大学刑事法律科学研究中心,法学理论,87.2,85-88分,4.92,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,刑法学,法理学,共同犯罪[刑法学]（证据：几乎完全仿照共同犯罪的学理逻辑）{gpt-5.5-high+qwen3.7-max}；法律责任[法理学]（证据：由法律性质和法律责任两个层面构成）{gpt-5.5-high+qwen3.7-max},主、从二分的共同犯罪理论[刑法学]（证据：移用了正犯与共犯的界分标准）{qwen3.7-max}；刑事责任理论[刑法学]（证据：解决如何在行为人之间合理划分刑事责任的问题）{gpt-5.5-high+qwen3.7-max},犯罪论（犯罪概念、犯罪构成、排除犯罪事由、共同犯罪、罪数形态）[刑法学]（证据：拘泥于被害人自陷风险在界分罪与非罪方面的功能）{gpt-5.5-high+qwen3.7-max},5,"关键词:3, 语义:10, 双重:3, AI核验:9",qwen3.7-max:刑法学/5项；gpt-5.5-high:刑法学/4项,置信度分布:{'high': 2}；qwen3.7-max:论文虽涉及民法学中的自甘风险与过失相抵，但候选民法学条目（侵权责任在民法典中独立成编）与论文核心论证无实质对应，故未选入。主要对应刑法学犯罪论与共犯理论，次要对；gpt-5.5-high:论文虽采用整体法秩序视角并涉及民法侵权赔偿，但候选民法条目“侵权责任在民法典中独立成编”并非其核心论证对象，故不确认。
28,1602,法学研究,2021,4,法律解释与法律续造的区分标准,陈坤,南京大学法学院,法学理论,87.15,85-88分,3.65,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,法理学,刑法学,法律规则[法理学]（证据：法官经常需要突破法律规则的文义边界进行裁判）{gpt-5.5-high+qwen3.7-max}；正当防卫[刑法学]（证据：立法者通过‘正当防卫’的概念，将制止正在进行的不法侵害）{qwen3.7-max},,第一部分：本体论（法的存在及其本质）[法理学]（证据：区分法律解释与法律续造）{gpt-5.5-high},3,"关键词:7, 语义:5, 双重:0, AI核验:4",qwen3.7-max:法理学/2项；gpt-5.5-high:法理学/2项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文属于法学理论（法理学）领域的法学方法论研究。刑法学的‘正当防卫’虽为跨学科例证，但在论证法律概念特殊性时进行了详细展开，故作为次要学科匹配。法理学框架结构中；gpt-5.5-high:论文核心属于法学理论中的法律解释学、法学方法论。刑法中的正当防卫、刑事责任仅为说明法律概念的例子；数字法学方法论、法律史学解释论、立法学等候选条目均非实质对应。"
29,1553,法学研究,2024,6,正当防卫中的退避义务,江溯,北京大学法学院,刑法学,87.1,85-88分,3.15,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,刑法学,,正当防卫[刑法学]（证据：正当防卫中的退避义务可以细分为侵害回避义务）{qwen3.7-max}；正当防卫 [keyword][刑法学]（证据：关键词: 正当防卫 防卫权 退避义务）{gpt-5.5-high},,,2,"关键词:3, 语义:6, 双重:0, AI核验:2",qwen3.7-max:刑法学/1项；gpt-5.5-high:刑法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文专门研究刑法中正当防卫的退避义务问题，与刑法学的“正当防卫”标识性概念高度实质对应，其他候选条目均不涉及。；gpt-5.5-high:论文虽涉及无责任能力、重大人身法益等内容，但均服务于正当防卫制度内部论证；未实质对应刑事责任理论、人权法、国际法或法律史条目。
30,1575,法学研究,2024,4,民法典的精神损害赔偿体系——以功能主义为视角,洪国盛,北京大学国际法学院,民商法学,87.05,85-88分,5.54,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民法学,,,人格权在民法典中独立成编[民法学]（证据：实现人格权编强化合同关系下人格权保护）{gpt-5.5-high+qwen3.7-max}；侵权责任在民法典中独立成编[民法学]（证据：服务于侵权编衡平行为自由与权益保护）{gpt-5.5-high+qwen3.7-max},,2,"关键词:2, 语义:5, 双重:0, AI核验:4",qwen3.7-max:民法学/2项；gpt-5.5-high:民法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文以功能主义视角解析民法典精神损害赔偿的“三源并流”体系，深度契合人格权编与侵权责任编独立成编的自主民法学知识体系创新。；gpt-5.5-high:论文核心属于民法典人格权编、合同编、侵权编之间的体系解释；未实质涉及国际法、国际私法、刑事诉讼法或知识产权法条目。
31,0317,中国法学,2021,4,基本原则与概括条款的区分:我国诚实信用与公序良俗的解释论构造,于飞,中国政法大学民商经济法学院,法学理论,87,85-88分,2.93,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,法理学,民法学；法律史学,法律原则[法理学]（证据：基本原则不是规则，不能直接作为裁判依据）{gpt-5.5-high+qwen3.7-max}；法律规则[法理学]（证据：概括条款是一种特殊的规则，是裁判依据）{gpt-5.5-high+qwen3.7-max}；法律价值[法理学]（证据：一个基本原则只是一项纯粹的法律价值）{gpt-5.5-high+qwen3.7-max},,第一：民法总则与基本原理[民法学]（证据：《民法典》首章集中规定表征民法理念的基本原则）{gpt-5.5-high+qwen3.7-max}；运行论（立法论、实施论、解释论）[法律史学]（证据：特色立法呼唤与之相适应的解释论）{qwen3.7-max},5,"关键词:7, 语义:8, 双重:2, AI核验:9",qwen3.7-max:法理学/5项；gpt-5.5-high:民法学/4项,置信度分布:{'high': 2}；qwen3.7-max:专家审阅学科为法学理论，且论文核心在于法理学中“原则与规则”的经典命题辨析，故将法理学作为主要对应学科；同时论文落脚于民法典总则编，兼具民法学与法律史学（解释论；gpt-5.5-high:论文主要属于民法总则与基本原理研究，同时大量使用法理学中的原则、规则、价值区分。其他候选条目多为词语相似或偶然出现，不构成实质对应。
32,1390,法学研究,2021,5,基于决定关系的证据客观性:概念、功能与理论定位,徐舒浩,中国人民大学法学院,诉讼法学,86.85,85-88分,3.85,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,诉讼法学,,刑事诉讼法 [keyword]；犯罪嫌疑人、被告人 [keyword][刑事诉讼法学]（证据：直接在被告人与案件之间建立客观联系）{gpt-5.5-high},,,1,"关键词:6, 语义:1, 双重:0, AI核验:1",qwen3.7-max:诉讼法学/0项；gpt-5.5-high:刑事诉讼法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨证据法学中的证据客观性、关联性与待证事实等理论概念。候选条目中的标识性概念（如被告人）在文中仅为刑事案例举证时的背景举例，非核心论证对象；法理学等学；gpt-5.5-high:论文虽使用“本体论”“形而上决定关系”等哲学术语，但并非讨论法理学中法的存在及本质；其他候选条目仅属词语相似或偶然关联，不构成实质对应。
33,0489,中国法学,2017,5,比例原则的普遍化与基本权利的性质,陈景辉,中国政法大学,宪法学与行政法学,86.325,85-88分,6.56,中等分歧（5<分歧值≤8）,经过候选复评,qwen3.7-max；gpt-5.5-high,宪法学,,,,第四：基本权利论[宪法学]（证据：比例原则的普遍化，寄生于“正当限制基本权利”这个观念）{gpt-5.5-high+qwen3.7-max},1,"关键词:1, 语义:1, 双重:0, AI核验:2",qwen3.7-max:宪法学/1项；gpt-5.5-high:宪法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文虽在脚注中偶然提及国际法，但并非核心论证内容，故不匹配国际法学条目。；gpt-5.5-high:“国际法”仅在脚注中作为背景性说明出现，并非核心论证对象，不构成实质对应。
34,1864,法学研究,2025,6,生态环境法典的复合结构及其体系化适用,陈海嵩,武汉大学环境法研究所,环境与资源保护法学,86.175,85-88分,2.8,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,生态环境法学,法理学,生态环境法典[生态环境法学]（证据：生态环境法典的复合结构及其体系化适用）{gpt-5.5-high+qwen3.7-max}；法律体系[法理学]（证据：保障以生态环境法典为核心之环境法体系的融贯统一）{gpt-5.5-high+qwen3.7-max}；生态环境[生态环境法学]（证据：生态环境保护相关活动）{gpt-5.5-high},生态环境法法典化理论[生态环境法学]（证据：通过实质法典化形成系统融贯...是核心任务）{gpt-5.5-high+qwen3.7-max}；生态环保体系化理论[生态环境法学]（证据：形成体系化视角下的规范解决方案）{gpt-5.5-high+qwen3.7-max}；生态环境法律责任理论[生态环境法学]（证据：法律责任编具有独特功能）{gpt-5.5-high},以法典内容为总纲，深化生态环境法基础理论的体系化与本土化[生态环境法学]（证据：立足生态环境法典的整体结构与规范脉络）{gpt-5.5-high+qwen3.7-max}；回应法典焦点议题，实现生态环境法制度规则的精准供给与知识创新[生态环境法学]（证据：草案第1185条应进一步补充和完善）{gpt-5.5-high+qwen3.7-max}；第四部分：运行论（法的制定到实施）[法理学]（证据：为当前立法工作提供参考）{gpt-5.5-high},9,"关键词:7, 语义:19, 双重:3, AI核验:15",qwen3.7-max:生态环境法学/6项；gpt-5.5-high:生态环境法学/9项,置信度分布:{'high': 2}；qwen3.7-max:论文核心聚焦于生态环境法典的编纂与适用，高度契合生态环境法学中的法典化与体系化理论；同时在处理法典与单行法位阶及适用冲突时，涉及法理学的法律体系与法律渊源理论。；gpt-5.5-high:主要对应生态环境法学；法理学仅作为支撑性对应。民法典、行政处罚法、水法等仅为比较或例证，未认定为民法学、行政法学等实质对应。
35,0021,中国法学,2023,6,“审执分离”本质与路径的再认识,张卫平,烟台大学,诉讼法学,86.125,85-88分,5.19,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民事诉讼法学,,民事诉讼法[民事诉讼法学]（证据：新中国民事诉讼法不断发展和完善）{gpt-5.5-high+qwen3.7-max},审执分离[民事诉讼法学]（证据：就“审执分离”的原旨而言，审判权与执行权分离的核心）{gpt-5.5-high+qwen3.7-max},,2,"关键词:2, 语义:5, 双重:2, AI核验:4",qwen3.7-max:民事诉讼法学/2项；gpt-5.5-high:民事诉讼法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文是民事诉讼法学领域的专业文献，核心聚焦于“审执分离”理论的再认识，未涉及其他候选学科内容。；gpt-5.5-high:未确认行政法、刑法、宪法、法理学、涉外法学、国家安全法学条目；“让审理者裁判、由裁判者负责”非本文核心论证。
36,0683,中国法学,2016,3,行政法上的不确定法律概念,王天华,中国政法大学,宪法学与行政法学,86.075,85-88分,7.59,中等分歧（5<分歧值≤8）,经过候选复评,qwen3.7-max；gpt-5.5-high,行政法学,法理学,行政裁量基准[行政法学]（证据：“我国行政裁量基准制度研究”、“补充判断基准”）{qwen3.7-max}；行政诉讼[行政法学]（证据：“初创的行政诉讼制度如何运作”）{qwen3.7-max}；行政诉讼 [keyword][行政法学]（证据：行政诉讼制度如何运作）{gpt-5.5-high},,"第一部分：本体论（法的存在及其本质）[法理学]（证据：“唯一正确答案预设是一个不能证成的本体论虚构”）{qwen3.7-max}；第三部分：价值论（法的价值与评价）[法理学]（证据：“追加价值判断”、“析出价值冲突、确认价值位序”）{qwen3.7-max}；第一部分：本体论（法的存在及其本质） [keyword+semantic, 相似度:0.66][法理学]（证据：唯一正确答案预设是本体论虚构）{gpt-5.5-high}；第三部分：价值论（法的价值与评价） [semantic, 相似度:0.66][法理学]（证据：析出价值冲突、确认价值位序）{gpt-5.5-high}",7,"关键词:5, 语义:6, 双重:1, AI核验:7",qwen3.7-max:行政法学/4项；gpt-5.5-high:行政法学/3项,置信度分布:{'high': 2}；qwen3.7-max:论文虽属行政法学范畴，但深度借用了法理学的语言哲学与道德分析哲学工具，对法律概念的本体论与价值论进行了跨学科的实质性探讨。；gpt-5.5-high:论文核心属于行政法上的不确定法律概念、司法审查与行政裁量关系研究；法理学为重要论证资源。候选中的“行政裁量基准”虽在课题脚注中出现，但非本文核心条目，未确认。
37,1448,法学研究,2022,6,履行行政职责的作为可能性,林鸿潮,中国政法大学法治政府研究院,宪法学与行政法学,86.05,85-88分,5.83,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,行政法学,法理学,行政诉讼[行政法学]（证据：法院在行政诉讼中判断被告是否构成不作为）{qwen3.7-max}；法律责任[法理学]（证据：行政诉讼追究的是法律责任，领导干部问责追究的是政治责任）{qwen3.7-max}；行政诉讼 [keyword][行政法学]（证据：法院在行政诉讼中判断被告是否构成不作为）{gpt-5.5-high}；法律责任 [keyword][法理学]（证据：决定责任的构成或者免除）{gpt-5.5-high},"构建职责明确、依法行政的政府治理体系[行政法学]（证据：目标与能力不匹配的行政任务在我国法律中大量存在）{qwen3.7-max}；构建职责明确、依法行政的政府治理体系 [semantic, 相似度:0.72][行政法学]（证据：要准确评价行政机关的履职状况）{gpt-5.5-high}","行政主体论（谁有权行政、组织载体与责任归属）[行政法学]（证据：行政的可问责性指的是行政机关就其职责履行状况承担责任）{qwen3.7-max}；行政监督救济论（行政出错如何纠正、多元监督救济体系）[行政法学]（证据：评价政府履职状况的情境有督查督察、绩效评估、行政救济等）{qwen3.7-max}；行政主体论（谁有权行政、组织载体与责任归属） [semantic, 相似度:0.74][行政法学]（证据：行政机关及其工作人员...负有作为义务、具备履职能力）{gpt-5.5-high}；行政监督救济论（行政出错如何纠正、多元监督救济体系） [semantic, 相似度:0.69][行政法学]（证据：行政不作为之诉...领导干部问责）{gpt-5.5-high}",10,"关键词:5, 语义:4, 双重:0, AI核验:10",qwen3.7-max:行政法学/5项；gpt-5.5-high:行政法学/5项,置信度分布:{'high': 2}；qwen3.7-max:论文核心聚焦行政法学中的行政职责履行与问责，同时涉及法理学中的责任理论。立法学相关概念（如立法程序）仅为反思前提的背景提及，未作实质论证，故不纳入匹配。；gpt-5.5-high:未确认“法治政府”，其主要见于作者单位而非核心论证；“立法程序”“民主立法理论”仅作为既有理论假设或背景出现，未构成实质研究对象；“法律史学运行论”无实质对应。
38,0634,中国法学,2019,5,组织法的诉讼构造:公司决议纠纷诉讼规则重构,丁勇,华东政法大学,诉讼法学,86,85-88分,5.8,中等分歧（5<分歧值≤8）,经过候选复评,qwen3.7-max；gpt-5.5-high,民事诉讼法学,法理学,民事诉讼法[民事诉讼法学]（证据：将诉讼规则交由民诉法解决）{gpt-5.5-high+qwen3.7-max}；法律行为[法理学]（证据：公司决议属于民事法律行为）{gpt-5.5-high+qwen3.7-max},,,2,"关键词:3, 语义:1, 双重:0, AI核验:4",qwen3.7-max:民事诉讼法学/2项；gpt-5.5-high:民事诉讼法学/2项,置信度分布:{'high': 2}；qwen3.7-max:论文主要聚焦于公司法（商法）与民事诉讼法的交叉领域，候选条目中未提供商法学，故以民事诉讼法学为主要对应学科。；gpt-5.5-high:不匹配数字法学中的“网络强国法治理论”，论文未涉及网络治理、数字法治或网络强国相关理论。“法律关系”虽有零星出现，但并非核心论证条目，未单独确认。
39,1848,法学研究,2025,4,宪法秩序下如何安放法典——从“基础性法律”的适用切入,张翔,北京大学法学院,宪法学与行政法学,85.7,85-88分,3.84,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,宪法学,法理学；民法学,合宪性审查[宪法学]（证据：以法典作为合宪性审查依据不能成立）{gpt-5.5-high+qwen3.7-max}；宪法精神[宪法学]（证据：实质性地体现着宪法精神）{gpt-5.5-high+qwen3.7-max}；法律体系[法理学]（证据：法体系的无矛盾性本身就是宪法诫命）{gpt-5.5-high+qwen3.7-max},,第二：宪法学基本理论[宪法学]（证据：最高性是唯有形式宪法才具有的独特规范品质）{gpt-5.5-high+qwen3.7-max}；第一：民法总则与基本原理[民法学]（证据：民法典与单行法两者之间并非上位法和下位法的关系）{qwen3.7-max}；第三：宪法制度论[宪法学]（证据：国家立法权配置和规范效力设定）{gpt-5.5-high}；第六：宪法实施论[宪法学]（证据：合位阶性解释特别是合宪性解释）{gpt-5.5-high}；第四：基本权利论[宪法学]（证据：借助宪法上的平等权、自由权）{gpt-5.5-high}；第四部分：运行论（法的制定到实施）[法理学]（证据：法律规范的适用规则本身）{gpt-5.5-high},9,"关键词:8, 语义:28, 双重:2, AI核验:13",qwen3.7-max:宪法学/5项；gpt-5.5-high:宪法学/8项,置信度分布:{'high': 2}；qwen3.7-max:本文虽以法典（尤其是民法典）的适用为切入点，但核心落脚点在于宪法秩序、法律位阶与合宪性解释，因此宪法学为主要对应学科，法理学和民法学为次要对应学科。；gpt-5.5-high:行政处罚法、民法典、刑法、商法等主要作为法典化或基础性法律的例证出现，不构成相应部门法条目的实质对应。
40,1330,法学研究,2024,6,反不正当竞争法一般条款的保护限度——以市场区分为视角,刘建臣,山东大学法学院,经济法学,85.7,85-88分,4.03,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,经济法学,知识产权法学,全国统一大市场[经济法学]（证据：在构建全国统一大市场的现实背景下）{qwen3.7-max}；公平竞争[经济法学]（证据：以维护市场公平竞争秩序为使命的反不正当竞争法）{qwen3.7-max}；知识产权法[知识产权法学]（证据：知识产权法为创新成果提供了直接有效的保护）{qwen3.7-max}；公平竞争 [keyword][经济法学]（证据：反不正当竞争法所追求的公平竞争）{gpt-5.5-high}；知识产权法 [keyword][知识产权法学]（证据：有违知识产权法的公共政策）{gpt-5.5-high},,开放性维度（数字技术、人工智能、数据要素等新型议题）[知识产权法学]（证据：面向非作品要素、企业数据、商业模式和人工智能生成物等）{qwen3.7-max}；开放性维度（数字技术、人工智能、数据要素等新型议题） [keyword][知识产权法学]（证据：企业数据、商业模式和人工智能生成物）{gpt-5.5-high},7,"关键词:7, 语义:1, 双重:0, AI核验:7",qwen3.7-max:经济法学/4项；gpt-5.5-high:经济法学/3项,置信度分布:{'high': 2}；qwen3.7-max:论文核心探讨反不正当竞争法一般条款的适用限度，属于经济法学（竞争法）范畴；同时深度涉及知识产权法补充保护及数据、AI等新型议题，故将知识产权法学作为次要学科。其；gpt-5.5-high:“全国统一大市场”仅作为背景出现，未构成核心论证条目；“全面依法治国”“互联网法院”等仅见于项目或案例信息，未作实质展开。
41,1614,法学研究,2021,6,"注册商标使用中的""未改变显著特征""",付继存,中国政法大学民商经济法学院,知识产权法学,85.6,85-88分,4.6,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,知识产权法学,经济法学,商标注册行为的要式性[知识产权法学]（证据：实际使用的商标标志与核准注册的商标标志有细微差别）{gpt-5.5-high+qwen3.7-max}；公平竞争[经济法学]（证据：变相鼓励不正当竞争者以不规范使用为由进行不侵权抗辩）{qwen3.7-max},商标相似性与混淆可能性之关系[知识产权法学]（证据：‘混淆性近似’、‘与近似相区别’这两个相互冲突的学理解释）{gpt-5.5-high+qwen3.7-max}；利益平衡理论[知识产权法学]（证据：兼顾商标作为商业语言的社会性与个体性）{qwen3.7-max},,4,"关键词:4, 语义:2, 双重:0, AI核验:6",qwen3.7-max:知识产权法学/4项；gpt-5.5-high:知识产权法学/2项,"置信度分布:{'high': 1, 'medium': 1}；qwen3.7-max:论文核心聚焦于知识产权法学中的商标使用判定，同时涉及经济法学中的公平竞争秩序维护。；gpt-5.5-high:公平竞争仅作为商标显著性或竞争秩序背景出现，非经济法核心对应；方法论虽被使用，但不属于数字法学实质内容。"
42,1860,法学研究,2025,5,诉权处分合同的程序法效果及其司法审查,朱禹臣,中国人民大学法学院,诉讼法学,85.55,85-88分,5.96,中等分歧（5<分歧值≤8）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,民事诉讼法学,民法学；法理学,民事诉讼法[民事诉讼法学]（证据：民事诉讼法意义上的诉权以起诉权为核心）{gpt-5.5-high+qwen3.7-max}；法律行为[法理学]（证据：借鉴民法上关于意思表示解释和法律行为效力判断的理论工具）{gpt-5.5-high+qwen3.7-max},民法典与民事诉讼法的衔接与协同实施[民事诉讼法学]（证据：对其的司法审查也需多部门法资源的协同会诊）{gpt-5.5-high+qwen3.7-max},第三：合同理论[民法学]（证据：其余如合同缔结、条款解释等与民事合同并无实质区别）{gpt-5.5-high+qwen3.7-max},4,"关键词:4, 语义:9, 双重:0, AI核验:8",qwen3.7-max:民事诉讼法学/4项；gpt-5.5-high:民事诉讼法学/4项,置信度分布:{'high': 2}；qwen3.7-max:论文以民事诉讼法为核心，深度融合民法合同与法律行为理论，典型体现了实体法与程序法的交叉与协同实施。；gpt-5.5-high:未确认国际私法、刑事诉讼法学、法律史学等条目；相关词语如意思自治、契约仅作为一般论证资源出现，不构成对应。
43,1322,法学研究,2023,6,劳动关系认定的理论澄清与规范建构,朱军,上海交通大学凯原法学院,经济法学,85.225,85-88分,5.5,中等分歧（5<分歧值≤8）,经过候选复评,qwen3.7-max；gpt-5.5-high,社会法学,立法学,劳动关系[社会法学]（证据：劳动关系认定是劳动法的元问题。）{gpt-5.5-high+qwen3.7-max}；劳动法[社会法学]（证据：劳动关系认定是劳动法的元问题。）{gpt-5.5-high+qwen3.7-max}；劳动者[社会法学]（证据：立法至今未对劳动者概念予以回应。）{gpt-5.5-high+qwen3.7-max}；劳动合同[社会法学]（证据：劳资通过合意订立劳动合同建立劳动关系）{gpt-5.5-high+qwen3.7-max}；用人单位[社会法学]（证据：用人单位招用劳动者未订立书面劳动合同）{gpt-5.5-high+qwen3.7-max}；劳动人事争议[社会法学]（证据：劳动人事争议仲裁委员会和法院处理确认劳动关系争议时）{qwen3.7-max}；法典编纂[立法学]（证据：劳动法典面临的重要任务之一是界定劳动关系基础概念）{qwen3.7-max},支配性劳动管理理论[社会法学]（证据：资方通过指令管理使劳动者丧失自主经营的可能）{gpt-5.5-high+qwen3.7-max}；倾斜保护劳动者理论[社会法学]（证据：资方被劳动法强制负担社会保护成本）{gpt-5.5-high},劳动法学理论[社会法学]（证据：一、劳动关系从属性理论之反思）{gpt-5.5-high+qwen3.7-max},10,"关键词:10, 语义:6, 双重:0, AI核验:17",qwen3.7-max:社会法学/9项；gpt-5.5-high:社会法学/8项,置信度分布:{'high': 2}；qwen3.7-max:论文核心聚焦于社会法学中的劳动关系认定与从属性理论，同时涉及立法学中的法典编纂背景。法理学中的“法律关系”虽为上位概念，但本文未对其一般理论展开论证，故不予纳入；gpt-5.5-high:论文虽提及法典编纂、类型思维等内容，但仅为背景或方法辅助；核心对应社会法学中的劳动法学理论。
44,1387,法学研究,2021,3,域外管辖的体系构造:立法管辖与司法管辖之界分,宋晓,南京大学法学院,国际法学,85.15,85-88分,3.58,低分歧（分歧值≤5）,经过候选复评与重点复核,qwen3.7-max；gpt-5.5-high,涉外法学,国际私法学；国际法学,中国法域外适用[涉外法学]（证据：加快推进我国法域外适用的法律体系建设）{gpt-5.5-high+qwen3.7-max}；国际法[国际法学]（证据：国际法只是进行外部限制而不能直接提出贯通的规则）{gpt-5.5-high+qwen3.7-max},统筹推进国内法治和涉外法治[涉外法学]（证据：我国已经深度融入国际社会，国力正在不断提升）{qwen3.7-max},主要内容（国内法治视角、区际法律冲突、国际法治发展、强制性规范、意思自治）[国际私法学]（证据：私法的域外立法管辖和私法案件的域外司法管辖）{gpt-5.5-high+qwen3.7-max},4,"关键词:6, 语义:9, 双重:0, AI核验:7",qwen3.7-max:涉外法学/4项；gpt-5.5-high:国际法学/3项,置信度分布:{'high': 2}；qwen3.7-max:论文以域外管辖为核心，深度交叉涉外法学、国际公法与国际私法。主要对应涉外法学中的中国法域外适用体系构建，同时涉及国际私法中的冲突规范与法律选择，以及国际公法中的；gpt-5.5-high:不将“法律体系”“立法”等通用词对应到法理学、法律史学或立法学条目；论文核心不涉及行政法、宪法、知识产权法等候选条目。
45,1601,法学研究,2020,6,法律规范合宪性解释的方法论构造,刘召成,天津大学法学院,宪法学与行政法学,84.925,82-85分,5.68,中等分歧（5<分歧值≤8）,经过候选复评,qwen3.7-max；gpt-5.5-high,宪法学,法理学,合宪性审查[宪法学]（证据：有合宪性审查权的机关在进行合宪性审查时）{gpt-5.5-high+qwen3.7-max},,第六：宪法实施论[宪法学]（证据：合宪性解释与合宪性审查的关联性）{gpt-5.5-high+qwen3.7-max}；第四部分：运行论（法的制定到实施）[法理学]（证据：合宪性解释作为法律解释方法的本体回归）{gpt-5.5-high+qwen3.7-max}；第二：宪法学基本理论[宪法学]（证据：尊重立法权与尊重宪法价值之间的调和）{gpt-5.5-high}；第三部分：价值论（法的价值与评价）[法理学]（证据：只能要求其在价值评价上保持一致）{gpt-5.5-high},5,"关键词:3, 语义:11, 双重:1, AI核验:8",qwen3.7-max:宪法学/3项；gpt-5.5-high:宪法学/5项,置信度分布:{'high': 2}；qwen3.7-max:论文以宪法学中的合宪性解释为核心，同时深度涉及法理学中的法律解释方法论，故将宪法学定为主要学科，法理学定为次要学科。民法学相关表述仅为举例说明，不予纳入。；gpt-5.5-high:知识产权法、民法、立法学等候选条目仅作为例证或背景出现，非论文核心论证对象；数字法学和法律史学不构成实质对应。
46,0051,中国法学,2018,4,三权分置下农地流转权利体系重构研究,宋志红,中共中央党校（国家行政学院）法学部,环境与资源保护法学,84.925,82-85分,4.38,低分歧（分歧值≤5）,经过候选复评,qwen3.7-max；gpt-5.5-high,民法学,,,契合土地公有制的原创性物权理论[民法学]（证据：坚持农村土地集体所有...分离出土地经营权这一次级用益物权）{gpt-5.5-high+qwen3.7-max},,1,"关键词:2, 语义:1, 双重:0, AI核验:2",qwen3.7-max:民法学/1项；gpt-5.5-high:民法学/1项,置信度分布:{'high': 2}；qwen3.7-max:论文虽被专家以环境与资源保护法学审阅，但其核心论证实质为民法学物权编内容，特别是中国特色的农地三权分置理论。；gpt-5.5-high:论文虽出现“法律行为”等词，但并非围绕法理学标识性概念展开；知识产权法框架条目与本文核心论证无实质对应。
